,dots_exten,geometry,lon,lat,Alpha-2 code,Country,Alpha-3 code,Numeric
26238,2.55889,POINT (-36.27208333333158 -10.27375000022721),-36.27208333333158,-10.27375000022721,BR,Brazil,BRA,76.0
26239,21.4652,POINT (-36.15374999999807 -10.157916666891083),-36.15374999999807,-10.157916666891083,BR,Brazil,BRA,76.0
26240,0.707389,POINT (-36.108749999998 -10.12625000022365),-36.108749999998,-10.12625000022365,BR,Brazil,BRA,76.0
26241,1.38099,POINT (-78.16708333332969 -10.087083333555938),-78.16708333332969,-10.087083333555938,PE,Peru,PER,604.0
26242,1.90243,POINT (-36.047916666664946 -10.072083333555724),-36.047916666664946,-10.072083333555724,BR,Brazil,BRA,76.0
26243,14.3625,POINT (-36.02208333333158 -10.035416666888125),-36.02208333333158,-10.035416666888125,BR,Brazil,BRA,76.0
26244,0.244631,POINT (-35.98041666666467 -9.971666667536567),-35.98041666666467,-9.971666667536567,BR,Brazil,BRA,76.0
26245,0.882907,POINT (-78.22666666666305 -9.939583336774604),-78.22666666666305,-9.939583336774604,PE,Peru,PER,604.0
26246,0.359007,POINT (-35.96291666666468 -9.939583333552548),-35.96291666666468,-9.939583333552548,BR,Brazil,BRA,76.0
26247,24.3909,POINT (-35.92041666666489 -9.838750000216692),-35.92041666666489,-9.838750000216692,BR,Brazil,BRA,76.0
26248,1.07252,POINT (-35.88541666666481 -9.833333334189945),-35.88541666666481,-9.833333334189945,BR,Brazil,BRA,76.0
26249,86.6297,POINT (-35.81249999999818 -9.728750003466416),-35.81249999999818,-9.728750003466416,BR,Brazil,BRA,76.0
26250,137.527,POINT (-35.78291666666479 -9.697916666880019),-35.78291666666479,-9.697916666880019,BR,Brazil,BRA,76.0
26251,345.75,POINT (-35.72958333333145 -9.66958333354603),-35.72958333333145,-9.66958333354603,BR,Brazil,BRA,76.0
26252,6.95405,POINT (-35.68708333333154 -9.612916666877993),-35.68708333333154,-9.612916666877993,BR,Brazil,BRA,76.0
26253,0.323233,POINT (-35.66541666666495 -9.587916666877334),-35.66541666666495,-9.587916666877334,BR,Brazil,BRA,76.0
26254,1.71762,POINT (-35.65458333333163 -9.572083333543674),-35.65458333333163,-9.572083333543674,BR,Brazil,BRA,76.0
26255,146.88,POINT (-35.64958333333152 -9.567083333543565),-35.64958333333152,-9.567083333543565,BR,Brazil,BRA,76.0
26256,1.00706,POINT (-35.617500001554674 -9.546666666488477),-35.617500001554674,-9.546666666488477,BR,Brazil,BRA,76.0
26257,1.2152,POINT (-35.60166666666487 -9.528750003487971),-35.60166666666487,-9.528750003487971,BR,Brazil,BRA,76.0
26258,1.35455,POINT (-35.589583333331575 -9.513750000208915),-35.589583333331575,-9.513750000208915,BR,Brazil,BRA,76.0
26259,0.925181,POINT (-35.586249999998245 -9.50875000020875),-35.586249999998245,-9.50875000020875,BR,Brazil,BRA,76.0
26260,1.52651,POINT (-35.5587499999981 -9.486250000208258),-35.5587499999981,-9.486250000208258,BR,Brazil,BRA,76.0
26261,7.43974,POINT (-35.54374999999823 -9.463750000207767),-35.54374999999823,-9.463750000207767,BR,Brazil,BRA,76.0
26262,5.2473,POINT (-78.38374999999644 -9.450416666873991),-78.38374999999644,-9.450416666873991,PE,Peru,PER,604.0
26263,3.38093,POINT (-35.52208333333158 -9.44041666687366),-35.52208333333158,-9.44041666687366,BR,Brazil,BRA,76.0
26264,44.4728,POINT (-35.50291666666487 -9.407916666873064),-35.50291666666487,-9.407916666873064,BR,Brazil,BRA,76.0
26265,25.8425,POINT (-35.41999999844427 -9.314999999790473),-35.41999999844427,-9.314999999790473,BR,Brazil,BRA,76.0
26266,0.127624,POINT (-35.386666668218254 -9.284166666453189),-35.386666668218254,-9.284166666453189,BR,Brazil,BRA,76.0
26267,1.8076,POINT (-78.49458333332973 -9.254583333535948),-78.49458333332973,-9.254583333535948,PE,Peru,PER,604.0
26268,4.09186,POINT (-35.342916666664735 -9.234583333535454),-35.342916666664735,-9.234583333535454,BR,Brazil,BRA,76.0
26269,2.39585,POINT (-35.32874999999831 -9.217083333535072),-35.32874999999831,-9.217083333535072,BR,Brazil,BRA,76.0
26270,1.61308,POINT (-35.32208333333142 -9.202083333534745),-35.32208333333142,-9.202083333534745,BR,Brazil,BRA,76.0
26271,0.495939,POINT (-35.31708333333154 -9.195833334128736),-35.31708333333154,-9.195833334128736,BR,Brazil,BRA,76.0
26272,42.8964,POINT (-35.29458333333156 -9.155416666866984),-35.29458333333156,-9.155416666866984,BR,Brazil,BRA,76.0
26273,1.08911,POINT (-35.27208333333152 -9.12291666686616),-35.27208333333152,-9.12291666686616,BR,Brazil,BRA,76.0
26274,0.737218,POINT (-35.26708333333147 -9.112083333532553),-35.26708333333147,-9.112083333532553,BR,Brazil,BRA,76.0
26275,3.05314,POINT (-78.5741666651133 -9.091666666428694),-78.5741666651133,-9.091666666428694,PE,Peru,PER,604.0
26276,3.52467,POINT (-35.25708333333148 -9.087500000785042),-35.25708333333148,-9.087500000785042,BR,Brazil,BRA,76.0
26277,3.86923,POINT (-35.24041666666477 -9.065416666864678),-35.24041666666477,-9.065416666864678,BR,Brazil,BRA,76.0
26278,8.79228,POINT (-35.222083333331625 -9.013750000196865),-35.222083333331625,-9.013750000196865,BR,Brazil,BRA,76.0
26279,2.45252,POINT (-35.20958333333158 -9.00041666686326),-35.20958333333158,-9.00041666686326,BR,Brazil,BRA,76.0
26280,0.328214,POINT (-35.18791666666493 -8.981250000196042),-35.18791666666493,-8.981250000196042,BR,Brazil,BRA,76.0
26281,4.98464,POINT (-78.64708333332976 -8.972083333529156),-78.64708333332976,-8.972083333529156,PE,Peru,PER,604.0
26282,2.19614,POINT (-35.16124999999818 -8.927083333528003),-35.16124999999818,-8.927083333528003,BR,Brazil,BRA,76.0
26283,3.23671,POINT (-35.15208333333146 -8.908750000194345),-35.15208333333146,-8.908750000194345,BR,Brazil,BRA,76.0
26284,6.07596,POINT (-35.14041666666492 -8.880416666860413),-35.14041666666492,-8.880416666860413,BR,Brazil,BRA,76.0
26285,162.736,POINT (-35.132916666664755 -8.829583333525761),-35.132916666664755,-8.829583333525761,BR,Brazil,BRA,76.0
26286,3.67494,POINT (-35.11874999999827 -8.802083333525218),-35.11874999999827,-8.802083333525218,BR,Brazil,BRA,76.0
26287,4.15392,POINT (-35.10458333333156 -8.767083333524283),-35.10458333333156,-8.767083333524283,BR,Brazil,BRA,76.0
26288,3.66584,POINT (-35.10291666666484 -8.688750000189145),-35.10291666666484,-8.688750000189145,BR,Brazil,BRA,76.0
26289,22.5074,POINT (-35.11374999999828 -8.671250000188593),-35.11374999999828,-8.671250000188593,BR,Brazil,BRA,76.0
26290,1.05242,POINT (-78.74958333332967 -8.63041666685433),-78.74958333332967,-8.63041666685433,PE,Peru,PER,604.0
26291,111.698,POINT (-35.04874999999822 -8.59666666740469),-35.04874999999822,-8.59666666740469,BR,Brazil,BRA,76.0
26292,0.105869,POINT (-35.02541666666474 -8.5629166668528),-35.02541666666474,-8.5629166668528,BR,Brazil,BRA,76.0
26293,1.59204,POINT (-78.86874999999623 -8.49125000018438),-78.86874999999623,-8.49125000018438,PE,Peru,PER,604.0
26294,5.75206,POINT (-34.9987499999981 -8.480416666850886),-34.9987499999981,-8.480416666850886,BR,Brazil,BRA,76.0
26295,3.88024,POINT (-34.97874999999806 -8.430416666849567),-34.97874999999806,-8.430416666849567,BR,Brazil,BRA,76.0
